1 7882720 Nov  5 13:53:31 2015
2 7884530.5 Nov  5 13:53:32 2015
3 7884970 Nov  5 13:53:33 2015
4 7877720.5 Nov  5 13:53:34 2015
5 7881790 Nov  5 13:53:35 2015
6 7884950 Nov  5 13:53:36 2015
7 7882890 Nov  5 13:53:37 2015
8 7884370.5 Nov  5 13:53:38 2015
9 7873030 Nov  5 13:53:39 2015
10 7871690.5 Nov  5 13:53:40 2015
11 7884030.5 Nov  5 13:53:41 2015
12 7875600.5 Nov  5 13:53:42 2015
13 7874700.5 Nov  5 13:53:43 2015
14 7878570.5 Nov  5 13:53:44 2015
15 7883270 Nov  5 13:53:45 2015
16 7878160.5 Nov  5 13:53:46 2015
17 7882230 Nov  5 13:53:47 2015
18 7880100.5 Nov  5 13:53:48 2015
19 7889720 Nov  5 13:53:49 2015
20 7880140.5 Nov  5 13:53:50 2015
21 7882470 Nov  5 13:53:51 2015
22 7895280.5 Nov  5 13:53:52 2015
23 7894110.5 Nov  5 13:53:53 2015
24 7885200 Nov  5 13:53:54 2015
25 7883120 Nov  5 13:53:55 2015
26 7878340 Nov  5 13:53:56 2015
27 7885860.5 Nov  5 13:53:57 2015
28 7879920 Nov  5 13:53:58 2015
29 7877180.5 Nov  5 13:53:58 2015
30 7876890.5 Nov  5 13:54:00 2015
31 7875980.5 Nov  5 13:54:00 2015
32 7869230 Nov  5 13:54:01 2015
33 7870870.5 Nov  5 13:54:02 2015
34 7865390.5 Nov  5 13:54:03 2015
35 7876330.5 Nov  5 13:54:04 2015
36 7867940 Nov  5 13:54:05 2015
37 7871570.5 Nov  5 13:54:06 2015
38 7878590.5 Nov  5 13:54:07 2015
39 7878300 Nov  5 13:54:08 2015
40 7865480.5 Nov  5 13:54:09 2015
41 7864490.5 Nov  5 13:54:10 2015
42 7861290 Nov  5 13:54:11 2015
43 7866480.5 Nov  5 13:54:12 2015
44 7868880.5 Nov  5 13:54:13 2015
45 7871620 Nov  5 13:54:14 2015
46 7865590.5 Nov  5 13:54:15 2015
47 7874200.5 Nov  5 13:54:16 2015
48 7871640 Nov  5 13:54:17 2015
49 7862890 Nov  5 13:54:18 2015
50 7866040 Nov  5 13:54:19 2015
51 7873180.5 Nov  5 13:54:20 2015
52 7867050 Nov  5 13:54:21 2015
53 7870620.5 Nov  5 13:54:22 2015
54 7870180.5 Nov  5 13:54:23 2015
55 7868420 Nov  5 13:54:24 2015
56 7869330 Nov  5 13:54:25 2015
57 7871170.5 Nov  5 13:54:26 2015
58 7897900 Nov  5 13:54:27 2015
