1 8036448.5 Nov  5 14:16:26 2015
2 8070320 Nov  5 14:16:27 2015
3 8035129.5 Nov  5 14:16:28 2015
4 8070549 Nov  5 14:16:29 2015
5 8038310 Nov  5 14:16:30 2015
6 8026320.5 Nov  5 14:16:31 2015
7 8034729 Nov  5 14:16:32 2015
8 8042680 Nov  5 14:16:33 2015
9 8044280 Nov  5 14:16:34 2015
10 8053529.5 Nov  5 14:16:35 2015
11 8039260 Nov  5 14:16:36 2015
12 8038310 Nov  5 14:16:37 2015
13 8044499.5 Nov  5 14:16:38 2015
14 8044499.5 Nov  5 14:16:39 2015
15 8040340.5 Nov  5 14:16:40 2015
16 8042300 Nov  5 14:16:41 2015
17 8038399.5 Nov  5 14:16:42 2015
18 8030559.5 Nov  5 14:16:43 2015
19 8035009.5 Nov  5 14:16:44 2015
20 8031040 Nov  5 14:16:45 2015
21 8026600 Nov  5 14:16:45 2015
22 8034789 Nov  5 14:16:47 2015
23 8037539.5 Nov  5 14:16:47 2015
24 8030360 Nov  5 14:16:48 2015
25 8027429.5 Nov  5 14:16:49 2015
26 8035269.5 Nov  5 14:16:50 2015
27 8034709 Nov  5 14:16:51 2015
28 8039839.5 Nov  5 14:16:52 2015
29 8036439 Nov  5 14:16:53 2015
30 8036129 Nov  5 14:16:54 2015
31 8039389.5 Nov  5 14:16:55 2015
32 8038830 Nov  5 14:16:56 2015
33 8042220 Nov  5 14:16:57 2015
34 8035660 Nov  5 14:16:58 2015
35 8040169.5 Nov  5 14:16:59 2015
36 8030669 Nov  5 14:17:00 2015
37 8033320.5 Nov  5 14:17:01 2015
38 8028761 Nov  5 14:17:02 2015
39 8045270 Nov  5 14:17:03 2015
40 8026340.5 Nov  5 14:17:04 2015
41 8034240 Nov  5 14:17:05 2015
42 8035140 Nov  5 14:17:06 2015
43 8032109.5 Nov  5 14:17:07 2015
44 8027261 Nov  5 14:17:08 2015
45 8027690 Nov  5 14:17:09 2015
46 8029030 Nov  5 14:17:10 2015
47 8023741 Nov  5 14:17:11 2015
48 8031220.5 Nov  5 14:17:12 2015
49 8044780 Nov  5 14:17:13 2015
50 8033549.5 Nov  5 14:17:14 2015
51 8039309.5 Nov  5 14:17:15 2015
52 8045270 Nov  5 14:17:16 2015
53 8030980 Nov  5 14:17:17 2015
54 8032819.5 Nov  5 14:17:18 2015
55 8027630 Nov  5 14:17:19 2015
56 8027900.5 Nov  5 14:17:20 2015
57 8032729 Nov  5 14:17:21 2015
58 8023201 Nov  5 14:17:22 2015
59 8029080.5 Nov  5 14:17:22 2015
60 8024740 Nov  5 14:17:24 2015
61 8029400 Nov  5 14:17:24 2015
62 8028230.5 Nov  5 14:17:25 2015
63 8046149.5 Nov  5 14:17:26 2015
64 8029220.5 Nov  5 14:17:27 2015
65 8024640 Nov  5 14:17:28 2015
66 8023470 Nov  5 14:17:29 2015
67 8037900 Nov  5 14:17:30 2015
68 8030060 Nov  5 14:17:31 2015
69 8038729.5 Nov  5 14:17:32 2015
70 8036979.5 Nov  5 14:17:33 2015
71 8032140 Nov  5 14:17:34 2015
72 8037189.5 Nov  5 14:17:35 2015
73 8022400 Nov  5 14:17:36 2015
74 8017960.5 Nov  5 14:17:37 2015
75 8024680 Nov  5 14:17:38 2015
76 8022500 Nov  5 14:17:39 2015
77 8021341.5 Nov  5 14:17:40 2015
78 8029040.5 Nov  5 14:17:41 2015
79 8040000 Nov  5 14:17:42 2015
80 8020400 Nov  5 14:17:43 2015
81 8030789.5 Nov  5 14:17:44 2015
82 8030089.5 Nov  5 14:17:45 2015
83 8024440 Nov  5 14:17:46 2015
84 8037659.5 Nov  5 14:17:47 2015
85 8034869 Nov  5 14:17:48 2015
86 8032619.5 Nov  5 14:17:49 2015
87 8029790 Nov  5 14:17:50 2015
88 8030399.5 Nov  5 14:17:51 2015
89 8020290.5 Nov  5 14:17:52 2015
90 8031370 Nov  5 14:17:53 2015
91 8021830.5 Nov  5 14:17:54 2015
92 8024340.5 Nov  5 14:17:55 2015
93 8018630 Nov  5 14:17:56 2015
94 8028570 Nov  5 14:17:57 2015
95 8033560 Nov  5 14:17:58 2015
96 8023700.5 Nov  5 14:17:58 2015
97 8021910.5 Nov  5 14:18:00 2015
98 8031720 Nov  5 14:18:00 2015
99 8027350.5 Nov  5 14:18:01 2015
100 8021061 Nov  5 14:18:02 2015
101 8027890 Nov  5 14:18:03 2015
102 8032099.5 Nov  5 14:18:04 2015
