Day of year,Abhinav,Ross,Andrew,Mutual,Phase,Total
1,,,,,0.002739726027,0
2,,1,,,0.005479452055,1
3,1,2,,,0.008219178082,3
4,5,,,,0.01095890411,5
5,1,1,,,0.01369863014,2
6,,,1,,0.01643835616,1
7,,,2,,0.01917808219,2
8,1,,2,,0.02191780822,3
9,1,,,,0.02465753425,1
10,,,,,0.02739726027,0
11,1,2,2,,0.0301369863,5
12,1,3,1,,0.03287671233,5
13,,,1,,0.03561643836,1
14,,2,,,0.03835616438,2
15,,3,,,0.04109589041,3
16,2,,,,0.04383561644,2
17,5,1,2,1,0.04657534247,7
18,4,2,1,1,0.04931506849,6
19,4,,2,,0.05205479452,6
20,,1,1,,0.05479452055,2
21,1,1,2,,0.05753424658,4
22,,,1,,0.0602739726,1
23,,,,,0.06301369863,0
24,2,1,,,0.06575342466,3
25,1,1,2,,0.06849315068,4
26,1,,,,0.07123287671,1
27,1,1,2,,0.07397260274,4
28,2,2,,,0.07671232877,4
29,2,1,1,,0.07945205479,4
30,2,,1,,0.08219178082,3
31,1,1,1,1,0.08493150685,2
32,3,,1,,0.08767123288,4
33,1,,,,0.0904109589,1
34,2,,2,,0.09315068493,4
35,1,1,,1,0.09589041096,1
36,1,,3,,0.09863013699,4
37,,1,,,0.101369863,1
38,1,,1,,0.104109589,2
39,1,1,1,,0.1068493151,3
40,,2,,,0.1095890411,2
41,,,1,,0.1123287671,1
42,1,,,,0.1150684932,1
43,1,2,2,,0.1178082192,5
44,,,1,,0.1205479452,1
45,1,5,,,0.1232876712,6
46,2,,1,,0.1260273973,3
47,1,1,,,0.1287671233,2
48,2,,1,,0.1315068493,3
49,,,,,0.1342465753,0
50,3,1,,,0.1369863014,4
51,1,1,2,,0.1397260274,4
52,,,1,,0.1424657534,1
53,1,1,2,,0.1452054795,4
54,,1,,,0.1479452055,1
55,,1,,,0.1506849315,1
56,2,,1,,0.1534246575,3
57,1,,,,0.1561643836,1
58,3,1,1,,0.1589041096,5
59,,2,3,,0.1616438356,5
60,,1,1,,0.1643835616,2
61,1,1,1,,0.1671232877,3
62,2,,1,,0.1698630137,3
63,1,,1,,0.1726027397,2
64,3,,1,,0.1753424658,4
65,1,,1,,0.1780821918,2
66,1,,1,,0.1808219178,2
67,2,3,,,0.1835616438,5
68,2,,2,,0.1863013699,4
69,1,1,1,,0.1890410959,3
70,,1,3,,0.1917808219,4
71,1,1,,,0.1945205479,2
72,,1,1,,0.197260274,2
73,,1,1,,0.2,2
74,1,1,,,0.202739726,2
75,2,3,2,,0.2054794521,7
76,,2,3,,0.2082191781,5
77,1,1,3,,0.2109589041,5
78,,1,2,,0.2136986301,3
79,,,,,0.2164383562,0
80,2,1,1,,0.2191780822,4
81,1,,1,,0.2219178082,2
82,2,3,1,,0.2246575342,6
83,4,,1,,0.2273972603,5
84,1,,2,1,0.2301369863,2
85,1,1,2,,0.2328767123,4
86,,1,,,0.2356164384,1
87,1,1,,,0.2383561644,2
88,1,,,,0.2410958904,1
89,,1,1,,0.2438356164,2
90,1,,,,0.2465753425,1
91,1,,,,0.2493150685,1
92,4,1,4,1,0.2520547945,8
93,0,1,2,,0.2547945205,3
94,2,1,2,,0.2575342466,5
95,1,,2,,0.2602739726,3
96,0,1,,,0.2630136986,1
97,0,,1,,0.2657534247,1
98,4,,,,0.2684931507,4
99,2,,1,,0.2712328767,3
100,1,,,,0.2739726027,1
101,1,1,3,,0.2767123288,5
102,1,,2,,0.2794520548,3
103,0,1,,,0.2821917808,1
104,1,,2,,0.2849315068,3
105,1,1,,,0.2876712329,2
106,1,,,,0.2904109589,1
107,1,,2,,0.2931506849,3
108,,,2,,0.295890411,2
109,,1,1,,0.298630137,2
110,3,,2,,0.301369863,5
111,1,1,2,,0.304109589,4
112,1,,,,0.3068493151,1
113,,2,1,,0.3095890411,3
114,1,1,2,,0.3123287671,4
115,1,,,,0.3150684932,1
116,2,,1,,0.3178082192,3
117,1,1,2,,0.3205479452,4
118,2,2,1,,0.3232876712,5
119,,4,1,,0.3260273973,5
120,,2,1,,0.3287671233,3
121,1,1,1,,0.3315068493,3
122,0,,1,,0.3342465753,1
123,2,2,2,,0.3369863014,6
124,1,3,1,,0.3397260274,5
125,2,2,1,,0.3424657534,5
126,1,2,3,,0.3452054795,6
127,1,1,,,0.3479452055,2
128,2,3,,,0.3506849315,5
129,0,2,1,,0.3534246575,3
130,4,,,,0.3561643836,4
131,1,2,,,0.3589041096,3
132,0,2,,,0.3616438356,2
133,1,,2,,0.3643835616,3
134,2,,,,0.3671232877,2
135,1,1,1,,0.3698630137,3
136,3,,1,,0.3726027397,4
137,,,2,,0.3753424658,2
138,,,2,,0.3780821918,2
139,,2,2,,0.3808219178,4
140,,1,1,,0.3835616438,2
141,1,1,1,,0.3863013699,3
142,3,,1,,0.3890410959,4
143,,1,5,,0.3917808219,6
144,,,1,,0.3945205479,1
145,,1,2,,0.397260274,3
146,2,,1,,0.4,3
147,,1,2,,0.402739726,3
148,1,,,,0.4054794521,1
149,1,1,2,,0.4082191781,4
150,2,1,,,0.4109589041,3
151,1,,,,0.4136986301,1
152,1,,4,,0.4164383562,5
153,1,,2,,0.4191780822,3
154,,,2,,0.4219178082,2
155,2,,3,1,0.4246575342,4
156,1,1,2,,0.4273972603,4
157,3,,1,,0.4301369863,4
158,,,3,,0.4328767123,3
